Institution,Researcher Name,Associated Facilities,Research Areas,Research Chairs/Grant Funding,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Alternative Fuels,Autonomy and AI,Batteries and Fuel Cells,Biocomposites,Coatings and Corrosion,Connected Vehicles,Control,Crashworthiness,Electronics,Forming and Joining,High Strength Steel,Hybrid and Electric Vehicles,Industrial Processes,Injury Prevention,Internal Combustion Engines,Lightweight Metals,Mechatronics,Nanotechnology,Networks and Security,"Noise, Vibration and Harshness",Polymers and Composite Materials,Powertrain,Sensors,Software,Stress and Fracture,Transportation and Charging,Vehicle Design
Carleton University,"Hafez, Roshdy",Broadband Communications and Wireless Systems (BCWS) Centre,Wireless sensor networks; broadband wireless access; wireless applications in transport management & safety; networking,,Networks and security,Transportation and charging,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,x,
Carleton University,"Halim, Abd El","Centre for Geosynthetics Research Information and Development, C-GRID","Geogrid reinforcement, transportation-related topics, economic analysis, and strength of materials.  ",,Transportation and charging,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,,,x,
Carleton University,"Hassan, Yasser",,"Modelling of roadway alignments; three-dimensional analysis; effect of driver perception and behaviour. Reducing collision risk through better design and consideration of human factors; design consistency and its relation to traffic safety, and probabilistic highway design.",,Connected vehicles,Injury Prevention,Transportation and charging,,,,,,,,x,,,,,,,,x,,,,,,Err:507,,,,,,x,
Carleton University,"Hayes, John",,Space robotics; machine vision;automated calibration systems; theoretical kinematics,,Autonomy and AI,,,,,,x,,,,,,,,,,,,,,,,,,Err:507,,,,,,,
Carleton University,"Huang, Changcheng",,Resource Optimization and Reliability Mechanisms in Wireless Networks,,Networks and security,,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Huang, Minyi",,Stochastic control & algorithms; wireless network optimization,,Networks and security,Software,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,x,,,
Carleton University,"Huang, Xiao",,Impact resistant and low cost fibre metal laminate composite.,,Crashworthiness,Polymers and composite materials,,,,,,,,,,,x,,,,,,,,,,,,Err:507,x,,,,,,
Carleton University,"Ibnkahla, Mohamed",Developing Next Generation Intelligent Vehicular Networks and Applications (DIVA) Network,"Internet of Things, wireless sensor networks, cognitive communications networks, signal processing for wireless communications, adaptive signal processing and neural networks, intelligent transportation systems.",Cisco Industrial Research Chair in the Internet of Everything (IoE) Sensor Networks and Technologies,Networks and security,Connected vehicles,Transportation and charging,,,,,,,,x,,,,,,,,,,,,,x,Err:507,,,,,,x,
Carleton University,"Ismail, Karim",,"Modelling and evaluation of intelligent transportation systems , Modelling of sustainable modes of transportation, Road safety analysis, Highway design",,Transportation and charging,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,,,x,
Carleton University,"Jaskolka, Jason",SERENE-RISC Cyber Security Smart Network,Cybersecurity Assurance & Security-By-Design,,Networks and security,,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Joslin, Chris","Director, School of Information Technology and IMD Coordinator","medical imaging, automotive displays, and architectural modelling; Signal Processing and Compression, 3D Computer Graphics and Animation, Biomedical Engineering",,Connected vehicles,,,,,,,,,,x,,,,,,,,,,,,,,Err:507,,,,,,,
Carleton University,"Kabir, Abu Syed",,"Light weighting of the vehicle by using stronger and lighter materials, and advanced manufacturing techniques of these materials.",,Lightweight metals,Polymers and composite materials,Industrial processes,,,,,,,,,,,,,,,x,,,x,,,,Err:507,x,,,,,,
Carleton University,"Karman, Deniz",,"Measurement, characterization, and modelling of motor vehicle emissions and their impact on air quality and climate change; Life-cycle analysis of alternate fuels and vehicle technologies; Air pollution sources, control methods,  dispersion and receptor modelling.",,Internal combustion engines,Alternative fuels,,,,x,,,,,,,,,,,,,,x,,,,,Err:507,,,,,,,
Carleton University,"Khan, Ata",Transportation Research Centre,"Urban transportation, traffic management and control, road safety.",,Transportation and charging,Injury Prevention,,,,,,,,,,,,,,,,,x,,,,,,Err:507,,,,,,x,
Carleton University,"Khan, Ata",Transportation Research Centre,"Design for Safety – autonomous vehicles, Design for automation in driving (autonomous driving), Design for Fuel efficiency, Design for emission reduction, Design of electrification system, Infrastructure for automation in driving (autonomous driving",,Injury Prevention,Autonomy and AI,Internal combustion engines,Hybrid and electric vehicles,Vehicle design,,x,,,,,,,,,,x,,x,x,,,,,Err:507,,,,,,,x
Carleton University,"Khouli, Fidel",,"Applied Dynamics, Control and Smart Structures",,Control,,,,,,,,,,,x,,,,,,,,,,,,,Err:507,,,,,,,
Carleton University,"King, Douglas J.","Co-director, Geomatics and Landscape Ecology Research Laboratory",GIS; modelling and mapping; remote sensing,,Transportation and charging,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,,,x,
Carleton University,"Kranakis, Evangelos",,Algorithmics; mobile agent computing; networks; cybersecurity,,Software,Networks and security,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,x,,,
Carleton University,"Kunz, Thomas","Real Time and Distributed Systems (RADS) Lab
Broadband Communications and Wireless Systems (BCWS) Centre",IoT (smart grid/city); mobile computing systems & internet; wireless sensor networks; software-defined networking,,Networks and security,Software,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,x,,,
Carleton University,"Labiche, Yvan","Software Quality Engineering Laboratory (SQUALL), Huawei-TELUS Innovation Centre for Enterprise Cloud Services",Verification and validation of software systems ,,Software,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,x,,,
Carleton University,"Laliberte, Jeremy",Novel Aircraft Design and Manufacturing Lab,Processing and testing of composites and fibre metal laminate airframe materials. Processing and testing of composites and fibre metal laminate airframe materials,,Polymers and composite materials,,,,,,,,,,,,,,,,,,,,,,,,Err:507,x,,,,,,
Carleton University,"Lambadaris, Ioannis (John)",,Wireless networks; network security; stochastic processes and control; performance analysis,,Networks and security,,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Langlois, Robert",Applied Dynamics Laboratory,Applied multibody dynamics; mathematical modelling and computer simulation; vehicle dynamics.,,Vehicle design,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,,,,x
Carleton University,"Lanthier, Mark",,"Robotics; coordination and path planning using computational geometry; mapping, searching and task partitioning; external sensing; 3D imaging",,Autonomy and AI,,,,,,x,,,,,,,,,,,,,,,,,,Err:507,,,,,,,
Carleton University,"Leth-Steensen, Craig",,Application of quantitative/statistical methods in data analysis; mathematical/computational models; neural networks; cognitive and psychophysical performance; cyber security; human cognitive and psychophysical performance for reaction time.,,Autonomy and AI,Networks and security,Connected vehicles,,,,x,,,,x,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Liu, Jie (Peter)",,Condition monitoring; system control; machine learning; instrumentation and measurement; vibration and sytem control; intelligent mechatronic systems.,,Control,Autonomy and AI,"Noise, vibration and harshness",Mechatronics,,,x,,,,,x,,,,,,,,,,x,,,Err:507,,,,,,,
Carleton University,"Liu, Mengchi",,Database systems; intelligent information systems; web technologies,,Networks and security,,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Liu, Peter",Canada Research Chair in Interactive Network Computing and Tele-Operation,Interactive networked systems; teleoperation/robotics/haptics; robotics; intelligent systems; context aware smart networks; wireless sensor networks.,,Networks and security,,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Liu, Rong",Unknown.,"Fracture mechanics, high temperature materials, composite materials, surface coatings, finite element analysis, wear, corrosion, erosion and creep of superalloys, automotive applications.",,Coatings and corrosion,Polymers and composite materials,Lightweight metals,Stress and fracture,,,,,,x,,,,,,,,,,,x,,,,Err:507,x,,,,x,,
Carleton University,"Lung, Chung-Horng",,"Software engineering, SDN, wireless, sensor networks, cloud computing, IoT, big data analytics",,Software,Networks and security,Sensors,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,x,x,,,
Carleton University,"Majumdar, Shikharesh
",,"Parallel & distributed systems; performance modelling & evaluation; resource management on clouds, grids & wireless sensor networks; service oriented architecture",,Transportation and charging,Software,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,x,,x,
Carleton University,"Marsland, Ian",Broadband Communications and Wireless Systems (BCWS) Centre,Wireless digital communications (stationary/mobile); non-coherent receiver design; error control coding; iterative decoding,,Networks and security,,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Mason, Ralph",,"Radio Navigation, Intelligent systems",,Networks and security,,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Matrawy, Ashraf","School of Information Technology
Next Generation Networks Research Group","SDN, security and privacy, IoT, mobile cloud computing; security of internet geo-location.",,Networks and security,,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Miller, Ronald",Nanomechanics Research Group,"Computational mechanics of materials, high temperature deformation of alloys, carbon nanotube composites.",,Lightweight metals,Polymers and composite materials,,,,,,,,,,,,,,,,,,,x,,,,Err:507,x,,,,,,
Carleton University,"Nussbaum, Doron",,Algorithms; computational geometry; data structures; machine vision; GIS; robotics and machine vision,,Autonomy and AI,Software,Transportation and charging,,,,x,,,,,,,,,,,,,,,,,,Err:507,,,,x,,x,
Carleton University,"Oommen, John",Chancellor's Professor,Image processing & pattern recognition; data structures; A.I.; theory of computing,,Autonomy and AI,Software,,,,,x,,,,,,,,,,,,,,,,,,Err:507,,,,x,,,
Carleton University,"Pearce, Trevor",,Real-time operating systems; modelling and simulation; human-in-the-loop & hardware-in-the-loop simulation,,Software,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,x,,,
Carleton University,"Periyalwar, Shalini",Broadband Communications and Wireless Systems (BCWS) Centre,Next generation wireless air interface technologies and novel wireless applications; wireless sensor network,,Networks and security,,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Petriu, Dorina",,Software Performance Engineering,,Software,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,x,,,
Carleton University,"Rajan, Sreeraman","Canada Research Chair in Sensor Systems
Centre for Research on Integrated Sensor Platforms",Sensors & sensor systems; signal processing; machine learning; pattern classification,,Sensors,Autonomy and AI,,,,,x,,,,,,,,,,,,,,,,,,Err:507,,,x,,,,
Carleton University,"Rogers, John",,Radio frequency integrated circuits; wireless networks and tuners; wireless local area networks.,,Networks and security,,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Santoro, Nicola",,Algorithms; communication networks; data structures; distributed & real-time systems; robotics; mobile computing; wireless communications; autonomous mobile robots; mobile sensor networks.,,Networks and security,Autonomy and AI,Software,,,,x,,,,,,,,,,,,,,,,,x,Err:507,,,,x,,,
Carleton University,"Sasiadek, Jurek",,"Guidance, Navigation, and Control, Fuzzy Logic Systems and Neural Networks; robotics and automation; navigation and control.",,Control,Autonomy and AI,,,,,x,,,,,x,,,,,,,,,,,,,Err:507,,,,,,,
Carleton University,"Shams, Maitham",,"VLSI Design, VLSI Applications, VLSI CAD",,Software,Industrial processes,Electronics,,,,,,,,,,,x,,,,x,,,,,,,Err:507,,,,x,,,
Carleton University,"Shi, Wei","School of Information Technology
Distributed & Mobile Computing Lab",Big data analytics; distributed computing in mobile agent systems; wireless sensor actuator/robot networks; intelligent vehicular ad hoc networks & clouds; privacy protection,,Networks and security,Software,Connected vehicles,,,,,,,,x,,,,,,,,,,,,,x,Err:507,,,,x,,,
Carleton University,"Somayaji, Anil
",Carleton Computer Security Lab,"Computer security, operating systems, intrusion detection, complex adaptive systems, artificial life",,Networks and security,,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Srinivasan, Anand",,"Big data, IoT, computer networks, UAV communications, wireless, smart systems, broadband communications; smart city; wireless networks",,Networks and security,Transportation and charging,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,x,
Carleton University,"St.-Hilaire, Marc","School of Information Technology
Broadband Communications and Wireless Systems (BCWS) Centre
Real-Time and Distributed Systems Group (RADS)",Wired and wireless communication networks; mobile computing; network architecture and optimization; cloud computing,,Networks and security,,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Szyszkowicz, Sebastian",,Outdoor urban channel modelling; green communications; drone communications; modelling of wireless interference,,Transportation and charging,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,,,x,
Carleton University,"Ulrich, Steve",Spacecraft Robotics and Control Laboratory,Computer vision-based navigation systems,,Autonomy and AI,,,,,,x,,,,,,,,,,,,,,,,,,Err:507,,,,,,,
Carleton University,"Van Oorschot, Paul","Canada Research Chair in Authentication and Computer Security
Carleton Computer Security Lab","Authentication; identity management; security (software, network, wireless, web); graphical passwords",,Networks and security,,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Varpio, Lara",,Mobile alerting & communication tech; electronic records,,Networks and security,,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Wainer, Gabriel","Research Centre in Technology Innovation
Advanced Real Time Simulation Lab",Modelling and simulation methodologies and tools; real-time operating systems; cellular models.,,Software,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,x,,,
Carleton University,"Wang, Xiaoyu",,"Energy storage, smart grids, photovoltaics; electric vehicle smart grid integration.",,Transportation and charging,Hybrid and electric vehicles,,,,,,,,,,,,,,,x,,,,,,,,Err:507,,,,,,x,
Carleton University,"Wight, Jim",,Automotive wireless communications and location; antenna structures; radar and radio navigation.,,Networks and security,,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Yanikomeroglu, Halim",5G Project,"Cellular networks, radio access networks, relay/multihop/mesh networks, cooperative communications, distributed antenna systems, antenna architecture, sensor networks, user-in-the-loop wireless networks, intelligent transportation systems.",,Networks and security,Sensors,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,x,,,,
Carleton University,"Ye, Winnie",,LiDAR for autonomous vehicles,,Autonomy and AI,,,,,,x,,,,,,,,,,,,,,,,,,Err:507,,,,,,,
Carleton University,"Yee, George O.M.",,Information security/privacy; computational intelligence; software engineering,,Networks and security,Software,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,x,,,
Carleton University,"Yu, Fei Richard","Developing Next Generation Intelligent Vehicular Networks and Applications (DIVA) Network
School of Information Technology","Cross-layer/cross-system design in wireless-based systems, security in wireless networks, green information technologies, multimedia over wireless networks, connected and autonomous vehicles.",,Networks and security,Connected vehicles,Autonomy and AI,,,,x,,,,x,,,,,,,,,,,,,x,Err:507,,,,,,,
Lakehead University,"Bedard, Michel",Centre for Research on Safe Driving,"Determinants of safe and unsafe driving, fitness-to-drive assessment, development of programs to enhance safe driving.",,Injury Prevention,Transportation and charging,,,,,,,,,,,,,,,,,x,,,,,,Err:507,,,,,,x,
Lakehead University,"Wang, Wilson",Lab for Intelligent Mechatronic Systems,"Signal control and processing, artificial intelligence, diagnostics, prognostics, mechatronics, intelligent control, powertrain, smart sensors, emission control.",,Autonomy and AI,Mechatronics,Control,Powertrain,Sensors,,x,,,,,x,,,,,,,,,,x,,,Err:507,,x,x,,,,
Laurentian University,"Ye, Zhibin",Unknown.,Polymer nanomaterials; nanocomposites; nanostructured carbon materials for energy storage and conversion; nanostructured metal nanoparticles.,"Canada Research Chair in Polymer Nanomaterials 
Ontario Research Fund - Infrastructure: Polymer Nanomaterial Characterization Facility.
NSERC (Discovery Grants Program): Developing semicrystalline star polyethylenes and advanced polyethylene ionomers.",Polymers and composite materials,Nanotechnology,,,,,,,,,,,,,,,,,,,,,x,,Err:507,x,,,,,,
McMaster University,"Afshari, Hamed",Centre for Mechatronics and Hybrid Technologies,"Control and dynamic systems, state estimation, mechatronics, battery management systems, fault detection and diagnosis.",,Mechatronics,Control,Batteries and fuel cells,,,,,x,,,,x,,,,,,,,,,x,,,Err:507,,,,,,,
McMaster University,"Ahmed, Ryan",Centre for Mechatronics and Hybrid Technologies,"Hybrid technology, battery modelling and condition monitoring, state and parameter estimation, fault detection and diagnosis, artificial intelligence, fluid power and hydraulics.",,Hybrid and electric vehicles,Batteries and fuel cells,Autonomy and AI,,,,x,x,,,,,,,,,x,,,,,,,,Err:507,,,,,,,
McMaster University,"Al-Mutawaly, Nafia",Canadian Excellence Research Chair in Advanced Powertrain and Electric Vehicles,"Power distribution and protection, power electronics. ",NSERC Industrial Research Chair for Colleges in Advanced Distribution System,Electronics,Powertrain,Hybrid and electric vehicles,,,,,,,,,,,x,,,x,,,,,,,,Err:507,,x,,,,,
McMaster University,"Attari, Mina",Centre for Mechatronics and Hybrid Technologies,"State and parameter estimation, variable structure theory, autonomous vehicles, automotive tracking, machine learning.",,Autonomy and AI,,,,,,x,,,,,,,,,,,,,,,,,,Err:507,,,,,,,
McMaster University,"Bakr, Mohamed",Canadian Excellence Research Chair in Advanced Powertrain and Electric Vehicles,"Optimization methods, computer-aided design, modelling circuits and photonic devices, nanotechnology, neural network applications, smart analysis.",,Vehicle design,Electronics,,,,,,,,,,,,x,,,,,,,,,,,Err:507,,,,,,,x
McMaster University,"Beik, Omid","McMaster Automotive Resource Centre (MARC)
Canadian Excellence Research Chair in Advanced Powertrain and Electric Vehicles","Electric machine design, drives and power electronics for renewable energy systems, electrified powertrains and their control schemes.",,Electronics,Powertrain,Control,Hybrid and electric vehicles,,,,,,,,x,,x,,,x,,,,,,,,Err:507,,x,,,,,
McMaster University,"Bilgin, Berker",Canadian Excellence Research Chair in Advanced Powertrain and Electric Vehicles,"Electric machines, power electronics, electric motor drives for electrified powertrain applications.",,Electronics,Powertrain,,,,,,,,,,,,x,,,,,,,,,,,Err:507,,x,,,,,
McMaster University,"Bone, Gary",McMaster Manufacturing Research Institute (MMRI),"Mechatronics, robotics, advanced control systems, automated inspection using machine vision.",,Mechatronics,Control,Industrial processes,,,,,,,,,x,,,,,,x,,,,x,,,Err:507,,,,,,,
McMaster University,"Botton, Gianluigi","Canadian Centre for Electron Microscopy
Brockhouse Institute of Material Research
National Center of High Resolution Electron Mircoscopy ","Microscopy of nanostructured materials, lithium ion batteries characterization.","Canada Research Chair in Electron Microscopy of Nanoscale Materials 
NSERC (Collborative Research and Development Grants): Advanced microscopic and spectroscopic evaluation of hybrid-supported catalysts.
NSERC (Discovery Grants Program): Bonding, Structure and Properties of Nanoscale Materials. 
Ontario Research Fund - Infrastructure: In Situ Characterization of Electrochemical Processes in Lithium Ion Batteries.",Nanotechnology,Batteries and fuel cells,,,,,,x,,,,,,,,,,,,,,,x,,Err:507,,,,,,,
McMaster University,"Carette, Jacques",Canadian Excellence Research Chair in Advanced Powertrain and Electric Vehicles,"Symbolic computation, generative programming, mathematical modeling, software development.",,Software,Powertrain,,,,,,,,,,,,,,,,,,,,,,,Err:507,,x,,x,,,
McMaster University,"Castano, Sandra",Canadian Excellence Research Chair in Advanced Powertrain and Electric Vehicles,"Acoustic noise estimation in electrical machines, SRM drives for electric and hybrid electric vehicle applications.",,Electronics,Hybrid and electric vehicles,Powertrain,,,,,,,,,,,x,,,x,,,,,,,,Err:507,,x,,,,,
McMaster University,"Cotton, James","McMaster Institute of Energy Studies
Canadian Excellence Research Chair in Advanced Powertrain and Electric Vehicles","Developing, modelling, and experimentally validating technologies and devices to advance energy conservation strategies, thermal management solutions, and combined heat and power systems, including in automotive applications.",,Powertrain,Alternative fuels,,,,x,,,,,,,,,,,,,,,,,,,Err:507,,x,,,,,
McMaster University,"Diskin, Zinovy","NECSIS
Generative Software Development Lab","Formal semantics, algebraic models, metamodelling, model management.",,Software,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,x,,,
McMaster University,"Elbestawi, M.A.",McMaster Manufacturing Research Institute (MMRI),"Computer aided manufacturing (CAM), machine tools, machining processes, manufacturing engineering, metal cutting.",,Industrial processes,Forming and joining,Lightweight metals,,,,,,,,,,,,x,,,x,,,x,,,,Err:507,,,,,,,
